# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; 2.965; -6.616; 7.250
3.0; 0.104; 3.357; -5.984; 6.861
6.0; 0.207; 3.778; -5.250; 6.468
9.0; 0.308; 4.195; -4.460; 6.122
12.0; 0.408; 4.569; -3.686; 5.871
15.0; 0.506; 4.857; -3.042; 5.731
18.0; 0.602; 5.021; -2.654; 5.679
21.0; 0.697; 5.054; -2.580; 5.674
24.0; 0.790; 5.034; -2.627; 5.678
27.0; 0.882; 5.005; -2.699; 5.686
30.0; 0.972; 4.906; -2.946; 5.722
33.0; 1.061; 4.816; -2.990; 5.669
36.0; 1.149; 4.731; -2.938; 5.569
39.0; 1.236; 4.648; -2.987; 5.525
42.0; 1.322; 4.565; -3.248; 5.603
45.0; 1.407; 4.484; -3.639; 5.775
48.0; 1.491; 4.408; -3.996; 5.950
51.0; 1.574; 4.338; -4.219; 6.051
54.0; 1.657; 4.271; -4.362; 6.104
57.0; 1.739; 4.204; -4.508; 6.164
60.0; 1.821; 4.140; -4.641; 6.219
63.0; 1.902; 3.967; -5.008; 6.389
66.0; 1.982; 3.634; -5.660; 6.726
69.0; 2.062; 3.180; -6.462; 7.203
72.0; 2.142; 2.685; -7.250; 7.731
75.0; 2.221; 2.220; -7.914; 8.219
78.0; 2.300; 1.827; -8.423; 8.619
81.0; 2.379; 1.515; -8.795; 8.924
84.0; 2.457; 1.279; -9.056; 9.146
87.0; 2.535; 1.106; -9.234; 9.300
90.0; 2.613; 0.987; -9.349; 9.401
93.0; 2.690; 0.914; -9.416; 9.460
96.0; 2.767; 0.880; -9.447; 9.488
99.0; 2.844; 0.878; -9.450; 9.491
102.0; 2.920; 0.904; -9.432; 9.476
105.0; 2.997; 0.950; -9.399; 9.447
108.0; 3.072; 1.006; -9.356; 9.410
111.0; 3.148; 1.060; -9.314; 9.374
114.0; 3.223; 1.100; -9.282; 9.346
117.0; 3.298; 1.117; -9.267; 9.334
120.0; 3.373; 1.111; -9.271; 9.338
123.0; 3.447; 1.085; -9.292; 9.355
126.0; 3.521; 1.048; -9.322; 9.381
129.0; 3.595; 1.009; -9.355; 9.409
132.0; 3.669; 0.974; -9.384; 9.434
135.0; 3.742; 0.949; -9.405; 9.453
138.0; 3.816; 0.936; -9.418; 9.464
141.0; 3.890; 0.935; -9.421; 9.468
144.0; 3.963; 0.946; -9.416; 9.464
147.0; 4.037; 0.967; -9.404; 9.453
150.0; 4.112; 0.994; -9.386; 9.439
153.0; 4.186; 1.024; -9.366; 9.421
156.0; 4.260; 1.057; -9.342; 9.401
159.0; 4.335; 1.095; -9.310; 9.374
162.0; 4.410; 1.149; -9.257; 9.328
165.0; 4.485; 1.243; -9.145; 9.230
168.0; 4.560; 1.437; -8.888; 9.003
171.0; 4.635; 1.867; -8.264; 8.472
174.0; 4.710; 1.239; -6.839; 6.950
177.0; 4.785; -0.396; -3.969; 3.989
180.0; 4.861; -2.657; 0.257; 2.669
183.0; 4.937; -4.861; 4.127; 6.377
186.0; 5.013; -6.166; 6.507; 8.965
189.0; 5.091; -6.010; 7.710; 9.776
192.0; 5.169; -5.363; 8.318; 9.897
195.0; 5.248; -4.782; 8.656; 9.889
198.0; 5.328; -4.428; 8.820; 9.869
201.0; 5.408; -4.219; 8.895; 9.845
204.0; 5.489; -4.092; 8.927; 9.820
207.0; 5.571; -4.009; 8.942; 9.799
210.0; 5.653; -3.948; 8.959; 9.790
213.0; 5.736; -3.889; 8.997; 9.802
216.0; 5.819; -3.816; 9.074; 9.843
219.0; 5.903; -3.258; 9.196; 9.756
222.0; 5.987; -2.415; 9.328; 9.635
225.0; 6.072; -1.569; 9.433; 9.563
228.0; 6.157; -0.917; 9.498; 9.542
231.0; 6.242; -0.549; 9.526; 9.542
234.0; 6.328; -0.435; 9.535; 9.545
237.0; 6.414; -0.491; 9.535; 9.548
240.0; 6.500; -0.610; 9.531; 9.551
243.0; 6.586; -0.710; 9.526; 9.552
246.0; 6.673; -0.750; 9.520; 9.549
249.0; 6.761; -0.749; 9.513; 9.542
252.0; 6.848; -0.736; 9.506; 9.534
255.0; 6.936; -0.712; 9.499; 9.526
258.0; 7.025; -0.685; 9.492; 9.516
261.0; 7.114; -0.666; 9.484; 9.507
264.0; 7.203; -0.660; 9.475; 9.498
267.0; 7.293; -0.668; 9.465; 9.489
270.0; 7.383; -0.671; 9.454; 9.478
273.0; 7.474; -0.634; 9.441; 9.462
276.0; 7.564; -0.507; 9.425; 9.438
279.0; 7.655; -0.244; 9.399; 9.403
282.0; 7.746; 0.171; 9.351; 9.352
285.0; 7.837; 0.680; 9.250; 9.275
288.0; 7.928; 1.115; 9.065; 9.133
291.0; 8.018; 1.414; 8.820; 8.933
294.0; 8.108; 1.610; 8.638; 8.787
297.0; 8.198; 1.610; 8.626; 8.775
300.0; 8.287; 1.461; 8.751; 8.872
303.0; 8.376; 1.266; 8.915; 9.004
306.0; 8.465; 1.097; 9.052; 9.118
309.0; 8.553; 0.982; 9.143; 9.196
312.0; 8.642; 0.924; 9.192; 9.238
315.0; 8.730; 0.916; 9.205; 9.250
318.0; 8.819; 0.952; 9.186; 9.236
321.0; 8.907; 1.023; 9.140; 9.197
324.0; 8.996; 1.119; 9.072; 9.141
327.0; 9.085; 1.221; 8.994; 9.076
330.0; 9.173; 1.305; 8.923; 9.018
