# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.02403; 4905.7; -0.0; -1705.4
3.0; 0.104; -0.02017; 5406.5; -0.0; -1496.3
6.0; 0.207; -0.01643; 5907.0; -0.0; -1271.0
9.0; 0.308; -0.01311; 6362.5; -0.0; -1050.6
12.0; 0.408; -0.01073; 6721.4; -0.0; -867.1
15.0; 0.506; -0.00983; 6937.9; -0.0; -756.4
18.0; 0.602; -0.01038; 7000.0; -0.0; -735.2
21.0; 0.697; -0.01068; 7000.0; -0.0; -748.6
24.0; 0.790; -0.01072; 6987.5; -0.0; -769.1
27.0; 0.882; -0.01209; 6894.8; -0.0; -839.6
30.0; 0.972; -0.01117; 6807.4; -0.0; -852.1
33.0; 1.061; -0.01025; 6724.8; -0.0; -837.2
36.0; 1.149; -0.01070; 6646.6; -0.0; -851.4
39.0; 1.236; -0.01241; 6572.6; -0.0; -925.7
42.0; 1.322; -0.01421; 6502.2; -0.0; -1037.2
45.0; 1.407; -0.01506; 6435.3; -0.0; -1138.9
48.0; 1.491; -0.01490; 6371.4; -0.0; -1202.3
51.0; 1.574; -0.01478; 6310.2; -0.0; -1243.1
54.0; 1.657; -0.01520; 6251.6; -0.0; -1284.7
57.0; 1.739; -0.01547; 6195.4; -0.0; -1322.6
60.0; 1.821; -0.01788; 6015.8; -0.0; -1427.4
63.0; 1.902; -0.02190; 5653.2; -0.0; -1613.0
66.0; 1.982; -0.02610; 5148.2; -0.0; -1841.8
69.0; 2.062; -0.02962; 4590.5; -0.0; -2066.3
72.0; 2.142; -0.03217; 4064.1; -0.0; -2255.5
75.0; 2.221; -0.03392; 3616.4; -0.0; -2400.6
78.0; 2.300; -0.03526; 3260.7; -0.0; -2506.4
81.0; 2.379; -0.03652; 2991.7; -0.0; -2581.0
84.0; 2.457; -0.03786; 2798.1; -0.0; -2631.7
87.0; 2.535; -0.03927; 2667.9; -0.0; -2664.4
90.0; 2.613; -0.04067; 2591.1; -0.0; -2683.5
93.0; 2.690; -0.04201; 2559.5; -0.0; -2692.4
96.0; 2.767; -0.04326; 2566.4; -0.0; -2693.4
