# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 28.97; 0.02097; -0.20499; 1.20148; 0.09163
3.0; 0.104; 29.30; 0.01818; -0.17907; 1.52509; 0.08300
6.0; 0.207; 29.68; 0.01536; -0.15158; 1.81501; 0.07531
9.0; 0.308; 30.10; 0.01268; -0.12410; 2.07539; 0.06913
12.0; 0.408; 30.55; 0.01027; -0.09921; 2.31122; 0.06427
15.0; 0.506; 31.03; 0.00829; -0.08118; 2.52669; 0.06013
18.0; 0.602; 31.51; 0.00691; -0.07448; 2.72407; 0.05569
21.0; 0.697; 31.99; 0.00631; -0.07962; 2.90289; 0.04986
24.0; 0.790; 32.46; 0.00635; -0.08428; 3.06067; 0.04238
27.0; 0.882; 32.92; 0.00662; -0.08622; 3.19447; 0.03372
30.0; 0.972; 33.36; 0.00709; -0.09709; 3.30118; 0.02367
33.0; 1.061; 33.79; 0.00765; -0.09334; 3.37801; 0.01279
36.0; 1.149; 34.20; 0.00779; -0.08632; 3.42305; 0.00179
39.0; 1.236; 34.60; 0.00780; -0.08869; 3.43461; -0.00974
42.0; 1.322; 34.99; 0.00818; -0.10231; 3.41026; -0.02268
45.0; 1.407; 35.37; 0.00914; -0.11859; 3.34697; -0.03714
48.0; 1.491; 35.74; 0.01040; -0.12823; 3.24292; -0.05199
51.0; 1.574; 36.10; 0.01150; -0.12897; 3.09925; -0.06569
54.0; 1.657; 36.45; 0.01222; -0.12778; 2.91970; -0.07745
57.0; 1.739; 36.79; 0.01273; -0.13005; 2.70902; -0.08733
60.0; 1.821; 37.12; 0.01323; -0.13274; 2.47231; -0.09546
63.0; 1.902; 37.44; 0.01403; -0.14985; 2.21425; -0.10255
66.0; 1.982; 37.73; 0.01578; -0.18132; 1.93826; -0.10973
69.0; 2.062; 37.97; 0.01877; -0.21650; 1.64647; -0.11765
72.0; 2.142; 38.18; 0.02279; -0.24631; 1.34035; -0.12615
75.0; 2.221; 38.34; 0.02736; -0.26676; 1.02155; -0.13461
78.0; 2.300; 38.46; 0.03203; -0.27805; 0.69243; -0.14229
81.0; 2.379; 38.56; 0.03643; -0.28227; 0.35621; -0.14856
84.0; 2.457; 38.63; 0.04035; -0.28152; 0.01692; -0.15297
87.0; 2.535; 38.69; 0.04364; -0.27727; -0.32091; -0.15527
90.0; 2.613; 38.73; 0.04621; -0.27044; -0.65284; -0.15553
93.0; 2.690; 38.77; 0.04801; -0.26176; -0.97542; -0.15409
96.0; 2.767; 38.80; 0.04901; -0.25205; -1.28643; -0.15120
99.0; 2.844; 38.83; 0.04922; -0.24231; -1.58411; -0.14694
102.0; 2.920; 38.87; 0.04875; -0.23366; -1.86664; -0.14131
105.0; 2.997; 38.91; 0.04776; -0.22720; -2.13199; -0.13442
