# 7937fabc-4a09-4ad9-86de-6407a95fcc0f
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 49.7064178; 203.9991736; -1.0915758; -0.0074092; 28.9672731; 3.2325234
1.9998729; 51.4881452; 204.9085553; -1.1060430; -0.0070532; 29.1895903; 3.4559147
3.9997457; 53.2819476; 205.7924567; -1.1197157; -0.0065485; 29.4254136; 3.6977823
5.9996186; 55.0869132; 206.6527002; -1.1321559; -0.0058949; 29.6756660; 4.1127397
7.9994915; 56.9026396; 207.4919732; -1.1432608; -0.0052065; 29.9515453; 4.3167394
9.9993644; 58.7265692; 208.3120932; -1.1529932; -0.0045411; 30.2384015; 4.5424148
11.9992372; 60.5575619; 209.1154755; -1.1614380; -0.0039055; 30.5373448; 4.8109980
13.9991101; 62.3955789; 209.9047914; -1.1687403; -0.0034024; 30.8508055; 4.9167232
15.9989830; 64.2384863; 210.6813835; -1.1750901; -0.0030019; 31.1678976; 5.0236646
17.9988558; 66.0856730; 211.4467263; -1.1808151; -0.0027246; 31.4885888; 5.0384959
19.9987287; 67.9379357; 212.2022814; -1.1861245; -0.0025935; 31.8069792; 5.0469762
21.9986016; 69.7934580; 212.9479591; -1.1912036; -0.0025036; 32.1227419; 5.0438532
23.9984744; 71.6523971; 213.6842135; -1.1961588; -0.0024526; 32.4352382; 4.9975028
25.9983473; 73.5157074; 214.4115631; -1.2011390; -0.0025365; 32.7419214; 4.9637782
27.9982202; 75.3822417; 215.1292831; -1.2062982; -0.0026143; 33.0437175; 4.9118014
29.9980931; 77.2523115; 215.8371681; -1.2115828; -0.0026715; 33.3396644; 4.8090793
31.9979659; 79.1267058; 216.5353160; -1.2169051; -0.0026448; 33.6268988; 4.7753285
33.9978388; 81.0043724; 217.2233965; -1.2221580; -0.0026052; 33.9097098; 4.7327262
35.9977117; 82.8854525; 217.9016350; -1.2273197; -0.0025573; 34.1876896; 4.6363461
37.9975845; 84.7703916; 218.5703525; -1.2324445; -0.0025702; 34.4578340; 4.6017761
39.9974574; 86.6585271; 219.2292922; -1.2376156; -0.0026208; 34.7238860; 4.5611762
41.9973303; 88.5500088; 219.8782901; -1.2429501; -0.0027146; 34.9855943; 4.4639771
43.9972031; 90.4448729; 220.5170425; -1.2483696; -0.0027008; 35.2398436; 4.4285177
45.9970760; 92.3428314; 221.1454238; -1.2538168; -0.0028274; 35.4902737; 4.3901201
47.9969489; 94.2456223; 221.7634596; -1.2597597; -0.0031114; 35.7368002; 4.2954248
49.9968218; 96.1504680; 222.3692079; -1.2660842; -0.0032146; 35.9763741; 4.2649692
